list_place,list_date_time,detail_plaats,detail_datum,stance,language
Utrecht ,30 september 2025 (16:32),Utrecht,30 september 2025,Against,Dutch
Dordrecht,30 september 2025 (16:28),Dordrecht,30 september 2025,Against,Dutch
Alphen,30 september 2025 (16:28),Alphen,30 september 2025,Against,English
Utrecht,30 september 2025 (16:18),Utrecht,30 september 2025,Against,English
Arnhem,30 september 2025 (16:16),Arnhem,30 september 2025,Against,English
Utrecht,30 september 2025 (16:10),Utrecht,30 september 2025,Against,English
Leeuwarden,30 september 2025 (16:10),Leeuwarden,30 september 2025,Against,Dutch
Rijswijk,30 september 2025 (16:08),Rijswijk,30 september 2025,Against,English
Wassenaar,30 september 2025 (16:06),Wassenaar,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (16:04),Rotterdam,30 september 2025,Against,English
Eindhoven,30 september 2025 (16:04),Eindhoven,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (16:03),Rotterdam,30 september 2025,Against,Dutch
Heeze,30 september 2025 (16:02),Heeze,30 september 2025,Against,English
Gouda,30 september 2025 (16:01),Gouda,30 september 2025,Against,English
Gouda,30 september 2025 (16:01),Gouda,30 september 2025,Against,Dutch
Arnhem,30 september 2025 (15:58),Arnhem,30 september 2025,Against,English
Utrecht,30 september 2025 (15:57),Utrecht,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (15:56),Eindhoven,30 september 2025,Against,English
Amsterdam,30 september 2025 (15:56),Amsterdam,30 september 2025,Against,Dutch
Leiden,30 september 2025 (15:56),Leiden,30 september 2025,Against,Dutch
Lelystad,30 september 2025 (15:55),Lelystad,30 september 2025,Against,English
Eindhoven,30 september 2025 (15:55),Eindhoven,30 september 2025,Against,English
Den Haag,30 september 2025 (15:54),Den Haag,30 september 2025,Against,English
Voorschoten,30 september 2025 (15:52),Voorschoten,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (15:51),Eindhoven,30 september 2025,Against,Dutch
Lichtenvoorde,30 september 2025 (15:51),Lichtenvoorde,30 september 2025,For,Dutch
Eindhoven,30 september 2025 (15:50),Eindhoven,30 september 2025,Against,English
Leiden,30 september 2025 (15:49),Leiden,30 september 2025,Against,Dutch
Den Hague,30 september 2025 (15:48),Den Hague,30 september 2025,Against,English
Veldhoven,30 september 2025 (15:48),Veldhoven,30 september 2025,Against,English
Amstelveen,30 september 2025 (15:47),Amstelveen,30 september 2025,Against,Dutch
Amsterdam ,30 september 2025 (15:44),Amsterdam,30 september 2025,Against,Dutch
Diemen,30 september 2025 (15:41),Diemen,30 september 2025,Against,English
Eindhoven ,30 september 2025 (15:35),Eindhoven,30 september 2025,Against,English
Zwolle,30 september 2025 (15:31),Zwolle,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (15:29),Amsterdam,30 september 2025,Against,Dutch
Amstelveen.,30 september 2025 (15:28),Amstelveen.,30 september 2025,Against,Dutch
Amersfoort,30 september 2025 (15:25),Amersfoort,30 september 2025,Against,Dutch
Zierikzee,30 september 2025 (15:22),Zierikzee,30 september 2025,Against,Dutch
Hoofddorp,30 september 2025 (15:21),Hoofddorp,30 september 2025,Against,English
Eindhoven,30 september 2025 (15:18),Eindhoven,30 september 2025,Against,English
Eindhoven,30 september 2025 (15:17),Eindhoven,30 september 2025,Against,English
Utrecht,30 september 2025 (15:17),Utrecht,30 september 2025,Against,Dutch
Amersfoort ,30 september 2025 (15:16),Amersfoort,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (15:14),Rotterdam,30 september 2025,Against,Dutch
"Rosmalen, Netherlands",30 september 2025 (15:11),"Rosmalen, Netherlands",30 september 2025,Against,English
Hillegom,30 september 2025 (15:11),Hillegom,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (15:11),Amsterdam,30 september 2025,Against,Dutch
Zoetermeer ,30 september 2025 (15:10),Zoetermeer,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (15:07),Rotterdam,30 september 2025,Against,English
Eindhoven,30 september 2025 (15:07),Eindhoven,30 september 2025,Against,English
Eindhoven,30 september 2025 (15:07),Eindhoven,30 september 2025,Against,English
Haarlem,30 september 2025 (15:03),Haarlem,30 september 2025,Against,Dutch
Zutphen ,30 september 2025 (15:02),Zutphen,30 september 2025,Against,Dutch
Amstelveen,30 september 2025 (15:01),Amstelveen,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (15:00),Utrecht,30 september 2025,Against,Dutch
Rotterdam ,30 september 2025 (15:00),Rotterdam,30 september 2025,Against,English
Amsterdam,30 september 2025 (14:56),Amsterdam,30 september 2025,Against,English
Haarlem,30 september 2025 (14:56),Haarlem,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (14:55),Amsterdam,30 september 2025,Against,Dutch
Valkenswaard,30 september 2025 (14:54),Valkenswaard,30 september 2025,Against,English
Sittard,30 september 2025 (14:53),Sittard,30 september 2025,Against,English
Naarden,30 september 2025 (14:51),Naarden,30 september 2025,Against,Dutch
Den Haag,30 september 2025 (14:50),Den Haag,30 september 2025,Against,Dutch
The Hague,30 september 2025 (14:47),The Hague,30 september 2025,Against,English
Eindhoven,30 september 2025 (14:45),Eindhoven,30 september 2025,For,Dutch
Hilversum,30 september 2025 (14:45),Hilversum,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (14:40),Eindhoven,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (14:40),Rotterdam,30 september 2025,For,Dutch
Utrecht,30 september 2025 (14:38),Utrecht,30 september 2025,Against,Dutch
Zierikzee,30 september 2025 (14:36),Zierikzee,30 september 2025,Against,English
Anonymous ,30 september 2025 (14:31),Anonymous,30 september 2025,Against,English
Julianadorp ,30 september 2025 (14:30),Julianadorp,30 september 2025,Against,Dutch
Haarlem,30 september 2025 (14:29),Haarlem,30 september 2025,Against,Dutch
Julianadorp ,30 september 2025 (14:29),Julianadorp,30 september 2025,Against,Dutch
Zanstaad,30 september 2025 (14:28),Zanstaad,30 september 2025,Against,English
Groningen ,30 september 2025 (14:26),Groningen,30 september 2025,Against,Dutch
Arnhem,30 september 2025 (14:26),Arnhem,30 september 2025,Against,English
Haarlem,30 september 2025 (14:22),Haarlem,30 september 2025,Against,Dutch
"Purmerend, Netherlands",30 september 2025 (14:20),"Purmerend, Netherlands",30 september 2025,Against,Dutch
Delft,30 september 2025 (14:19),Delft,30 september 2025,Against,Dutch
South Holland,30 september 2025 (14:19),South Holland,30 september 2025,Against,English
Utrecht,30 september 2025 (14:18),Utrecht,30 september 2025,Against,Other
Leiden,30 september 2025 (14:16),Leiden,30 september 2025,Against,English
Breda,30 september 2025 (14:13),Breda,30 september 2025,Against,English
the Hague,30 september 2025 (14:11),the Hague,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (14:10),Amsterdam,30 september 2025,Against,English
Hilversum,30 september 2025 (14:10),Hilversum,30 september 2025,Against,English
Dronten,30 september 2025 (14:08),Dronten,30 september 2025,Against,Dutch
Spijkenisse ,30 september 2025 (14:07),Spijkenisse,30 september 2025,Against,English
Lelystad,30 september 2025 (14:07),Lelystad,30 september 2025,Against,English
Heerhugowaard,30 september 2025 (14:04),Heerhugowaard,30 september 2025,Against,Dutch
Bodegraven,30 september 2025 (14:04),Bodegraven,30 september 2025,Against,English
TILBURG,30 september 2025 (14:03),TILBURG,30 september 2025,Against,English
Hilversum,30 september 2025 (14:02),Hilversum,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (14:02),Eindhoven,30 september 2025,Against,English
Waterland ,30 september 2025 (14:01),Waterland,30 september 2025,Against,English
Almere,30 september 2025 (13:59),Almere,30 september 2025,Against,English
Amsterdam ,30 september 2025 (13:58),Amsterdam,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (13:57),Amsterdam,30 september 2025,Against,English
Amsterdam,30 september 2025 (13:57),Amsterdam,30 september 2025,Against,English
Middenbeemster,30 september 2025 (13:55),Middenbeemster,30 september 2025,For,Dutch
Tilburg,30 september 2025 (13:55),Tilburg,30 september 2025,Against,Dutch
"Almere, Flevoland",30 september 2025 (13:51),"Almere, Flevoland",30 september 2025,Against,Dutch
Almere,30 september 2025 (13:51),Almere,30 september 2025,Against,English
Eindhoven,30 september 2025 (13:45),Eindhoven,30 september 2025,Against,English
The Hague,30 september 2025 (13:43),The Hague,30 september 2025,Against,English
Doorn,30 september 2025 (13:42),Doorn,30 september 2025,Against,English
Amstelveen,30 september 2025 (13:39),Amstelveen,30 september 2025,Against,English
Almere,30 september 2025 (13:39),Almere,30 september 2025,Against,English
Westzaan,30 september 2025 (13:37),Westzaan,30 september 2025,Against,English
Almere,30 september 2025 (13:37),Almere,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (13:37),Amsterdam,30 september 2025,Against,Dutch
Tiel,30 september 2025 (13:34),Tiel,30 september 2025,Against,English
Middelburg,30 september 2025 (13:33),Middelburg,30 september 2025,Against,Dutch
Alkmaar,30 september 2025 (13:31),Alkmaar,30 september 2025,Against,English
Utrecht,30 september 2025 (13:31),Utrecht,30 september 2025,Against,Dutch
Uithoorn,30 september 2025 (13:31),Uithoorn,30 september 2025,Against,Dutch
Purmerend,30 september 2025 (13:29),Purmerend,30 september 2025,Against,Dutch
Helmond,30 september 2025 (13:29),Helmond,30 september 2025,Against,Dutch
Harmelen,30 september 2025 (13:28),Harmelen,30 september 2025,Against,English
Nunspeet,30 september 2025 (13:27),Nunspeet,30 september 2025,Against,Other
BEST,30 september 2025 (13:25),BEST,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (13:25),Amsterdam,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (13:24),Rotterdam,30 september 2025,Against,English
Den Haag,30 september 2025 (13:22),Den Haag,30 september 2025,Against,English
Den Haag,30 september 2025 (13:22),Den Haag,30 september 2025,Against,English
Arnhem,30 september 2025 (13:20),Arnhem,30 september 2025,Against,English
Eindhoven ,30 september 2025 (13:17),Eindhoven,30 september 2025,Against,English
Almere,30 september 2025 (13:17),Almere,30 september 2025,Against,English
Utrecht,30 september 2025 (13:17),Utrecht,30 september 2025,Against,English
Veldhoven,30 september 2025 (13:17),Veldhoven,30 september 2025,Against,Dutch
Hoofddorp,30 september 2025 (13:14),Hoofddorp,30 september 2025,Against,English
The Hague,30 september 2025 (13:14),The Hague,30 september 2025,Against,English
Amsterdam,30 september 2025 (13:14),Amsterdam,30 september 2025,Against,English
Amsterdam,30 september 2025 (13:13),Amsterdam,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (13:09),Utrecht,30 september 2025,Against,Dutch
Hilversum,30 september 2025 (13:09),Hilversum,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (13:08),Eindhoven,30 september 2025,Against,English
Utrecht,30 september 2025 (13:05),Utrecht,30 september 2025,Against,English
Nieuwegein,30 september 2025 (13:01),Nieuwegein,30 september 2025,Against,English
Haarlem,30 september 2025 (13:01),Haarlem,30 september 2025,Against,English
Amsterdam,30 september 2025 (12:57),Amsterdam,30 september 2025,Against,Dutch
Almere,30 september 2025 (12:57),Almere,30 september 2025,Against,Dutch
HOORN NH,30 september 2025 (12:56),HOORN NH,30 september 2025,Against,Dutch
Diemen,30 september 2025 (12:53),Diemen,30 september 2025,Against,Dutch
Den Bosch,30 september 2025 (12:53),Den Bosch,30 september 2025,Against,English
Leeuwarden,30 september 2025 (12:51),Leeuwarden,30 september 2025,Against,Dutch
Helmond ,30 september 2025 (12:51),Helmond,30 september 2025,Against,English
Leiden ,30 september 2025 (12:47),Leiden,30 september 2025,Against,English
Sint-Michielsgestel,30 september 2025 (12:47),Sint-Michielsgestel,30 september 2025,Against,Dutch
Purmerend,30 september 2025 (12:46),Purmerend,30 september 2025,Against,Dutch
Almere,30 september 2025 (12:43),Almere,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (12:42),Amsterdam,30 september 2025,For,Dutch
Zaandam,30 september 2025 (12:42),Zaandam,30 september 2025,Against,English
Nieuwegein,30 september 2025 (12:42),Nieuwegein,30 september 2025,Against,English
Rotterdam,30 september 2025 (12:41),Rotterdam,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (12:41),Utrecht,30 september 2025,Against,Dutch
Lelystad,30 september 2025 (12:40),Lelystad,30 september 2025,Against,English
Hoorn,30 september 2025 (12:38),Hoorn,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (12:38),Utrecht,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (12:38),Utrecht,30 september 2025,Against,Dutch
Leeuwarden,30 september 2025 (12:37),Leeuwarden,30 september 2025,Against,Dutch
Apeldoorn,30 september 2025 (12:36),Apeldoorn,30 september 2025,Against,English
Rotterdam,30 september 2025 (12:36),Rotterdam,30 september 2025,Against,English
Amsterdam,30 september 2025 (12:36),Amsterdam,30 september 2025,Against,English
Vleuten,30 september 2025 (12:35),Vleuten,30 september 2025,Against,English
Utrecht,30 september 2025 (12:34),Utrecht,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (12:34),Amsterdam,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (12:34),Amsterdam,30 september 2025,Against,Dutch
The Hague,30 september 2025 (12:33),The Hague,30 september 2025,Against,Dutch
Heemstede,30 september 2025 (12:32),Heemstede,30 september 2025,Against,Dutch
Arnhem,30 september 2025 (12:32),Arnhem,30 september 2025,Against,English
Amsterdam ,30 september 2025 (12:31),Amsterdam,30 september 2025,Against,Dutch
Zutphen,30 september 2025 (12:30),Zutphen,30 september 2025,Against,Dutch
Purmerend,30 september 2025 (12:25),Purmerend,30 september 2025,Against,Dutch
5242EK,30 september 2025 (12:24),5242EK,30 september 2025,Against,Dutch
Venlo,30 september 2025 (12:22),Venlo,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (12:14),Utrecht,30 september 2025,Against,Dutch
Zaandam,30 september 2025 (12:13),Zaandam,30 september 2025,Against,Other
Amsterdam,30 september 2025 (12:13),Amsterdam,30 september 2025,Against,English
Almere,30 september 2025 (12:12),Almere,30 september 2025,Against,Dutch
Alphen aan den Rijn,30 september 2025 (12:11),Alphen aan den Rijn,30 september 2025,Against,English
Enschede,30 september 2025 (12:11),Enschede,30 september 2025,Against,Dutch
Terneuzen ,30 september 2025 (12:10),Terneuzen,30 september 2025,Against,English
Sittard,30 september 2025 (12:07),Sittard,30 september 2025,Against,Dutch
Almere,30 september 2025 (12:04),Almere,30 september 2025,Against,English
Amsterdam,30 september 2025 (12:04),Amsterdam,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (12:04),Amsterdam,30 september 2025,Against,English
Den Haag,30 september 2025 (12:03),Den Haag,30 september 2025,Against,Dutch
Tilburg,30 september 2025 (11:58),Tilburg,30 september 2025,Against,English
Tilburg,30 september 2025 (11:57),Tilburg,30 september 2025,Against,English
Leiden,30 september 2025 (11:54),Leiden,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (11:50),Amsterdam,30 september 2025,Against,English
Eindhoven ,30 september 2025 (11:48),Eindhoven,30 september 2025,Against,English
Eindhoven,30 september 2025 (11:48),Eindhoven,30 september 2025,Against,Dutch
Nootdorp,30 september 2025 (11:47),Nootdorp,30 september 2025,Against,English
Haarlem,30 september 2025 (11:46),Haarlem,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (11:44),Amsterdam,30 september 2025,Against,Dutch
Den Haag,30 september 2025 (11:43),Den Haag,30 september 2025,Against,English
Den Haag,30 september 2025 (11:39),Den Haag,30 september 2025,Against,Dutch
Purmerend,30 september 2025 (11:37),Purmerend,30 september 2025,Against,Dutch
Diemen,30 september 2025 (11:37),Diemen,30 september 2025,Against,Dutch
Enschede,30 september 2025 (11:35),Enschede,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (11:31),Utrecht,30 september 2025,Against,Dutch
The Hague,30 september 2025 (11:30),The Hague,30 september 2025,Against,English
Den Haag,30 september 2025 (11:29),Den Haag,30 september 2025,Against,Dutch
Hilversum,30 september 2025 (11:27),Hilversum,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (11:23),Utrecht,30 september 2025,Against,Dutch
Hooghalen,30 september 2025 (11:22),Hooghalen,30 september 2025,Against,Other
Amsterdam,30 september 2025 (11:22),Amsterdam,30 september 2025,Against,Dutch
Almere,30 september 2025 (11:21),Almere,30 september 2025,Against,Dutch
Almere,30 september 2025 (11:20),Almere,30 september 2025,Against,English
Haarlem,30 september 2025 (11:19),Haarlem,30 september 2025,Against,Dutch
Leeuwarden,30 september 2025 (11:18),Leeuwarden,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (11:16),Rotterdam,30 september 2025,Against,Dutch
Delft,30 september 2025 (11:14),Delft,30 september 2025,Against,English
Hoofdrrop ,30 september 2025 (11:14),Hoofdrrop,30 september 2025,Against,English
Almere,30 september 2025 (11:12),Almere,30 september 2025,Against,English
Amsterdam,30 september 2025 (11:09),Amsterdam,30 september 2025,Against,English
Amsterdam,30 september 2025 (11:07),Amsterdam,30 september 2025,Against,Dutch
Almere,30 september 2025 (11:07),Almere,30 september 2025,Against,Dutch
Leeuwarden,30 september 2025 (11:05),Leeuwarden,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (11:01),Rotterdam,30 september 2025,Against,Dutch
Breda,30 september 2025 (10:58),Breda,30 september 2025,Against,English
Dordrecht,30 september 2025 (10:57),Dordrecht,30 september 2025,Against,English
Nieuwegein,30 september 2025 (10:56),Nieuwegein,30 september 2025,Against,Dutch
Spijkenisse ,30 september 2025 (10:56),Spijkenisse,30 september 2025,Against,Dutch
Zevenaar,30 september 2025 (10:55),Zevenaar,30 september 2025,Against,English
Den Haag,30 september 2025 (10:54),Den Haag,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (10:54),Amsterdam,30 september 2025,Against,English
Dordrecht,30 september 2025 (10:53),Dordrecht,30 september 2025,Against,Dutch
Zaltbommel,30 september 2025 (10:52),Zaltbommel,30 september 2025,Against,English
Haarlem,30 september 2025 (10:52),Haarlem,30 september 2025,Against,Dutch
Helmond,30 september 2025 (10:49),Helmond,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (10:49),Amsterdam,30 september 2025,Against,Dutch
Enschede,30 september 2025 (10:49),Enschede,30 september 2025,Against,English
Lelystad,30 september 2025 (10:49),Lelystad,30 september 2025,Against,Dutch
Tilburg,30 september 2025 (10:47),Tilburg,30 september 2025,Against,English
Tilburg,30 september 2025 (10:44),Tilburg,30 september 2025,Against,English
Rolde,30 september 2025 (10:42),Rolde,30 september 2025,Against,Dutch
Dordrecht,30 september 2025 (10:40),Dordrecht,30 september 2025,Against,English
Zaanstad,30 september 2025 (10:39),Zaanstad,30 september 2025,Against,Dutch
Lelystad,30 september 2025 (10:39),Lelystad,30 september 2025,Against,Other
Leeuwarden,30 september 2025 (10:38),Leeuwarden,30 september 2025,Against,Dutch
Haarlem,30 september 2025 (10:38),Haarlem,30 september 2025,Against,Dutch
Zoetermeer,30 september 2025 (10:35),Zoetermeer,30 september 2025,Against,Dutch
Hoofddorp,30 september 2025 (10:35),Hoofddorp,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (10:35),Rotterdam,30 september 2025,Against,English
Amsterdam,30 september 2025 (10:31),Amsterdam,30 september 2025,Against,Dutch
Rotterdam,30 september 2025 (10:29),Rotterdam,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (10:28),Eindhoven,30 september 2025,Against,English
Eindhoven,30 september 2025 (10:28),Eindhoven,30 september 2025,Against,Dutch
The Hague,30 september 2025 (10:27),The Hague,30 september 2025,Against,Dutch
Haarlem,30 september 2025 (10:21),Haarlem,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (10:20),Amsterdam,30 september 2025,Against,Dutch
Zaandam,30 september 2025 (10:18),Zaandam,30 september 2025,Against,Dutch
Lelystad,30 september 2025 (10:18),Lelystad,30 september 2025,Against,English
Utrecht,30 september 2025 (10:17),Utrecht,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (10:15),Amsterdam,30 september 2025,Against,Dutch
Almere,30 september 2025 (10:14),Almere,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (10:11),Eindhoven,30 september 2025,Against,Dutch
Amsterdam ,30 september 2025 (10:10),Amsterdam,30 september 2025,Against,Dutch
Lelystad,30 september 2025 (10:10),Lelystad,30 september 2025,Against,Dutch
Nijmegen,30 september 2025 (10:09),Nijmegen,30 september 2025,Against,English
Almere,30 september 2025 (10:09),Almere,30 september 2025,Against,Dutch
Den Haag,30 september 2025 (10:08),Den Haag,30 september 2025,Against,Dutch
Almere,30 september 2025 (10:03),Almere,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (10:01),Amsterdam,30 september 2025,Against,Dutch
Lelystad,30 september 2025 (09:59),Lelystad,30 september 2025,Against,Dutch
Eindhoven.,30 september 2025 (09:57),Eindhoven.,30 september 2025,Against,Dutch
Groningen,30 september 2025 (09:57),Groningen,30 september 2025,Against,Dutch
Zoetermeer,30 september 2025 (09:56),Zoetermeer,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (09:55),Utrecht,30 september 2025,Against,Dutch
Almere,30 september 2025 (09:55),Almere,30 september 2025,Against,English
Hoofddorp ,30 september 2025 (09:54),Hoofddorp,30 september 2025,Against,Dutch
Lelystad,30 september 2025 (09:53),Lelystad,30 september 2025,Against,English
Amsterdam,30 september 2025 (09:46),Amsterdam,30 september 2025,Against,Dutch
Geldrop,30 september 2025 (09:43),Geldrop,30 september 2025,Against,English
Amsterdam,30 september 2025 (09:41),Amsterdam,30 september 2025,Against,Dutch
"Haarlem, """,30 september 2025 (09:40),"Haarlem, """,30 september 2025,Against,Dutch
Zaandam,30 september 2025 (09:35),Zaandam,30 september 2025,Against,English
Utrecht,30 september 2025 (09:33),Utrecht,30 september 2025,Against,English
Eindhoven,30 september 2025 (09:29),Eindhoven,30 september 2025,Against,English
Lelystad ,30 september 2025 (09:28),Lelystad,30 september 2025,Against,English
Assendelft,30 september 2025 (09:27),Assendelft,30 september 2025,Against,Dutch
Diemen,30 september 2025 (09:26),Diemen,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (09:24),Utrecht,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (09:23),Amsterdam,30 september 2025,Against,Dutch
Netherlands,30 september 2025 (09:16),Netherlands,30 september 2025,Against,English
Amsterdam,30 september 2025 (09:12),Amsterdam,30 september 2025,Against,Dutch
Leiden,30 september 2025 (09:10),Leiden,30 september 2025,Against,Dutch
Amsterdam,30 september 2025 (09:09),Amsterdam,30 september 2025,Against,Dutch
Leiden,30 september 2025 (09:04),Leiden,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (09:04),Eindhoven,30 september 2025,Against,Dutch
Leersum,30 september 2025 (08:29),Leersum,30 september 2025,Against,Dutch
Rijswijk,30 september 2025 (08:28),Rijswijk,30 september 2025,Against,English
Lelystad,30 september 2025 (08:24),Lelystad,30 september 2025,Against,English
AMERSFOORT,30 september 2025 (08:03),AMERSFOORT,30 september 2025,Against,Dutch
Almere,30 september 2025 (07:54),Almere,30 september 2025,Against,Dutch
Weert,30 september 2025 (07:36),Weert,30 september 2025,Against,English
Almere,30 september 2025 (07:24),Almere,30 september 2025,Against,Dutch
Zwolle,30 september 2025 (07:11),Zwolle,30 september 2025,Against,Dutch
Almere,30 september 2025 (07:03),Almere,30 september 2025,Against,Dutch
Eindhoven,30 september 2025 (06:11),Eindhoven,30 september 2025,Against,Dutch
Utrecht,30 september 2025 (01:25),Utrecht,30 september 2025,Against,Dutch
Rotterdam,03 oktober 2025 (22:41),Rotterdam,3 oktober 2025,Against,Dutch
Gilza,03 oktober 2025 (22:40),Gilza,3 oktober 2025,Against,Dutch
Amsterdam,03 oktober 2025 (22:35),Amsterdam,3 oktober 2025,Against,Dutch
Drenthe,03 oktober 2025 (22:32),Drenthe,3 oktober 2025,Against,Dutch
Eindhoven,03 oktober 2025 (22:27),Eindhoven,3 oktober 2025,Against,English
Rotterdam,03 oktober 2025 (22:26),Rotterdam,3 oktober 2025,Against,Dutch
Voorburg,03 oktober 2025 (22:17),Voorburg,3 oktober 2025,Against,Dutch
Eindhoven,03 oktober 2025 (22:09),Eindhoven,3 oktober 2025,Against,English
Utrecht,03 oktober 2025 (22:01),Utrecht,3 oktober 2025,Against,Dutch
Rotterdam ,03 oktober 2025 (21:58),Rotterdam,3 oktober 2025,Against,English
Rotterdam,03 oktober 2025 (21:42),Rotterdam,3 oktober 2025,Against,English
Voorburg,03 oktober 2025 (21:40),Voorburg,3 oktober 2025,Against,Dutch
Amsterdam,03 oktober 2025 (21:36),Amsterdam,3 oktober 2025,Against,Dutch
Rotterdam,03 oktober 2025 (21:35),Rotterdam,3 oktober 2025,Against,English
Schiedam,03 oktober 2025 (21:23),Schiedam,3 oktober 2025,Against,Dutch
Hoofddorp,03 oktober 2025 (21:22),Hoofddorp,3 oktober 2025,Against,Dutch
Utrecht,03 oktober 2025 (21:03),Utrecht,3 oktober 2025,Against,Dutch
Amstleveen ,03 oktober 2025 (20:57),Amstleveen,3 oktober 2025,Against,Dutch
Nootdorp,03 oktober 2025 (20:54),Nootdorp,3 oktober 2025,Against,Dutch
Amersfoort,03 oktober 2025 (20:53),Amersfoort,3 oktober 2025,Against,English
Amsterdam ,03 oktober 2025 (20:50),Amsterdam,3 oktober 2025,For,Dutch
Amstelveen,03 oktober 2025 (20:41),Amstelveen,3 oktober 2025,Against,English
Zuidwolde,03 oktober 2025 (20:35),Zuidwolde,3 oktober 2025,Against,Dutch
Utrecht,03 oktober 2025 (20:32),Utrecht,3 oktober 2025,Against,English
"Naatherland ,Limburg",03 oktober 2025 (20:21),"Naatherland ,Limburg",3 oktober 2025,Against,English
Voorburg,03 oktober 2025 (20:17),Voorburg,3 oktober 2025,Against,English
Groningen,03 oktober 2025 (20:13),Groningen,3 oktober 2025,Against,Dutch
Anonymous,03 oktober 2025 (20:05),Anonymous,3 oktober 2025,Against,English
Arnhem,03 oktober 2025 (19:55),Arnhem,3 oktober 2025,Against,Dutch
Amsterdam,03 oktober 2025 (19:48),Amsterdam,3 oktober 2025,Against,Dutch
Amsterdam,03 oktober 2025 (19:39),Amsterdam,3 oktober 2025,Against,English
Eindhoven,03 oktober 2025 (19:36),Eindhoven,3 oktober 2025,Against,Dutch
Utrecht,03 oktober 2025 (19:29),Utrecht,3 oktober 2025,Against,Dutch
Hoofddorp,03 oktober 2025 (19:22),Hoofddorp,3 oktober 2025,Against,Dutch
Amsterdam,03 oktober 2025 (19:19),Amsterdam,3 oktober 2025,Against,English
Utrecht,03 oktober 2025 (19:13),Utrecht,3 oktober 2025,Against,English
Rosmalen,03 oktober 2025 (19:08),Rosmalen,3 oktober 2025,Against,Dutch
"Tilburg, I.",03 oktober 2025 (19:07),"Tilburg, I.",3 oktober 2025,Against,English
Delft,03 oktober 2025 (19:04),Delft,3 oktober 2025,Against,Dutch
Venlo,03 oktober 2025 (19:03),Venlo,3 oktober 2025,Against,Dutch
Almere.,03 oktober 2025 (19:01),Almere.,3 oktober 2025,Against,Dutch
Almere,03 oktober 2025 (18:58),Almere,3 oktober 2025,Against,Dutch
Eindhoven,03 oktober 2025 (18:56),Eindhoven,3 oktober 2025,Against,Dutch
's-Gravenhage,03 oktober 2025 (18:55),'s-Gravenhage,3 oktober 2025,Against,Dutch
Den Haag,03 oktober 2025 (18:52),Den Haag,3 oktober 2025,Against,Dutch
Baarn ,03 oktober 2025 (18:51),Baarn,3 oktober 2025,Against,Dutch
Haarlem,03 oktober 2025 (18:48),Haarlem,3 oktober 2025,Against,English
Eindhoven,03 oktober 2025 (18:47),Eindhoven,3 oktober 2025,Against,English
Amstelveen,03 oktober 2025 (18:44),Amstelveen,3 oktober 2025,Against,Dutch
Baarn,03 oktober 2025 (18:44),Baarn,3 oktober 2025,Against,Dutch
